,id,breed,intake_type,intake_subtype,date_in,condition,outcome,outcome_sub,date_out
33,A1094189,CAIRN TERRIER,CONFISCATED,QUARANTINE,1580256000.0,APP WNL,EUTHANIZED,BITE,1581033600.0
34,A1103090,ROTTWEILER,STRAY,CONFINED,1592352000.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1592611200.0
35,A1090837,GERM SHEPHERD,OWNER SURRENDER,EUTHANASIA REQUESTED,1576195200.0,UNKNOWN,EUTHANIZED,MEDICAL-NONCONTAGIOUS,1576540800.0
36,A1094146,CHIHUAHUA LH,STRAY,AT LARGE,1579824000.0,APP WNL,RETURNED TO OWNER,FIELD,1579824000.0
37,A1091274,PIT BULL,STRAY,AT LARGE,1576713600.0,APP WNL,RETURNED TO OWNER,FIELD,1576713600.0
38,A1078546,DOMESTIC SH,FOSTER,SURGERY,1573776000.0,APP WNL,FOSTER,SURGERY,1573776000.0
39,A1089589,POODLE MIN,STRAY,AT LARGE,1576540800.0,UNKNOWN,RETURNED TO OWNER,WALK IN,1576540800.0
40,A1099664,SIBERIAN HUSKY,STRAY,WEB,1586304000.0,NORMAL,LOST EXP,OTHER,1588982400.0
41,A1081609,DOMESTIC SH,FOSTER,TREATMENT,1574726400.0,APP SICK,FOSTER,TREATMENT,1574726400.0
42,A1093584,DOMESTIC SH,OWNER SURRENDER,GENERAL,1579219200.0,APP WNL,FOSTER,UNDERAGE,1579305600.0
43,A0765974,FINNISH SPITZ,OWNER SURRENDER,APPOINT,1576627200.0,APP WNL,ADOPTION,EAC,1576713600.0
44,A1095392,DOMESTIC SH,OWNER SURRENDER,GENERAL,1580947200.0,APP WNL,ADOPTION,WALK IN,1581033600.0
45,A1082245,CHIHUAHUA SH,STRAY,AT LARGE,1576627200.0,APP WNL,RETURNED TO OWNER,FIELD,1576627200.0
46,A1091024,GERM SHEPHERD,STRAY,AT LARGE,1576454400.0,APP WNL,ADOPTION,WALK IN,1576713600.0
47,A1052232,AUST SHEPHERD,STRAY,AT LARGE,1576454400.0,APP WNL,RETURNED TO OWNER,WALK IN,1576540800.0
48,A1090509,SIBERIAN HUSKY,OWNER SURRENDER,RETURN30,1576540800.0,APP WNL,ADOPTION,PROMOTION,1576540800.0
49,A1091615,GERM SHEPHERD,STRAY,AT LARGE,1577059200.0,APP WNL,ADOPTION,WALK IN,1577664000.0
50,A1084170,CHIHUAHUA LH,TREATMENT,HEART WORM,1582675200.0,APP WNL,TREATMENT,COMPLETED,1582675200.0
51,A1073732,PIT BULL,TREATMENT,HEART WORM,1576627200.0,APP WNL,TREATMENT,COMPLETED,1576713600.0
52,A1090738,PIT BULL,STRAY,CONFINED,1576108800.0,APP WNL,ADOPTION,WALK IN,1576713600.0
53,A1090986,DOMESTIC SH,OWNER SURRENDER,GENERAL,1576368000.0,APP WNL,ADOPTION,WALK IN,1576540800.0
54,A1091167,CHIHUAHUA SH,STRAY,AT LARGE,1576627200.0,APP WNL,RETURNED TO OWNER,FIELD,1576627200.0
55,A1090781,DACHSHUND,OWNER SURRENDER,GENERAL,1576108800.0,APP WNL,TRANSFER,TRANSPORT,1576540800.0
56,A1088704,DOMESTIC MH,STRAY,WEB,1572048000.0,NORMAL,FOUND EXP,OTHER,1576627200.0
57,A1094750,LABRADOR RETR,STRAY,AT LARGE,1580342400.0,UNKNOWN,RETURNED TO OWNER,WALK IN,1581033600.0
58,A1098431,STAFFORDSHIRE,STRAY,AT LARGE,1584057600.0,APP WNL,ADOPTION,WESTMORELD,1584403200.0
59,A1030475,BOSTON TERRIER,STRAY,AT LARGE,1579824000.0,APP WNL,RETURNED TO OWNER,FIELD,1579824000.0
60,A1090345,GERM SHEPHERD,OWNER SURRENDER,GENERAL,1575676800.0,APP WNL,ADOPTION,WALK IN,1576627200.0
61,A1091291,GREYHOUND,STRAY,AT LARGE,1576713600.0,APP WNL,RETURNED TO OWNER,FIELD,1576713600.0
62,A1089142,DOMESTIC SH,STRAY,CONFINED,1574380800.0,APP WNL,TRANSFER,UNDERAGE,1576800000.0
63,A1091876,GERM SHEPHERD,OWNER SURRENDER,GENERAL,1577404800.0,APP INJ,TRANSFER,GENERAL,1577664000.0
64,A1091222,CHIHUAHUA SH,OWNER SURRENDER,GENERAL,1576627200.0,APP WNL,EUTHANIZED,HUMANE,1576627200.0
65,A0871575,PIT BULL,STRAY,CONFINED,1582675200.0,APP WNL,RETURNED TO OWNER,FIELD,1582675200.0
66,A1091958,ALASKAN HUSKY,STRAY,AT LARGE,1577491200.0,APP WNL,RETURNED TO OWNER,WALK IN,1577664000.0
67,A1092743,BEAGLE,STRAY,WEB,1578268800.0,NORMAL,LOST EXP,OTHER,1581033600.0
68,A1091227,PIT BULL,STRAY,AT LARGE,1576627200.0,APP WNL,ADOPTION,WALK IN,1576713600.0
69,A1079289,DOMESTIC SH,FOSTER,RETURN,1577664000.0,APP WNL,ADOPTION,IN FOSTER,1577664000.0
70,A1091225,PIT BULL,STRAY,AT LARGE,1576627200.0,APP WNL,ADOPTION,WALK IN,1576713600.0
