breed,classification,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,purebred,breed_1,breed_2
chiweenie,,0.4,33.5,60.0,6.5,9.5,9.0,18.5,0,chihuahua,dachshund
chorkie,,0.5,28.5,52.5,7.0,8.5,2.5,6.0,0,chihuahua,yorkshire terrier
chow hound basset,,0.1,81.0,100.0,16.5,18.0,42.5,52.5,0,chow chow,basset hound
chowpit,,0.39999999999999997,48.5,62.5,18.0,20.5,42.5,52.5,0,chow chow,american pit bull terrier
chug,,0.3,41.0,80.0,8.0,10.0,8.0,13.5,0,chihuahua,pug
chusky,,0.3,53.5,70.0,19.5,22.5,42.5,57.5,0,chow chow,siberian husky
chuvasz,,0.3,53.5,70.0,23.5,26.0,57.5,87.5,0,chow chow,kuvasz
carillon,,0.825,8.5,14.5,8.5,10.5,9.5,12.0,0,cairn terrier,papillon
clumber lab,,0.825,8.5,14.5,20.0,22.0,45.0,72.5,0,clumber spaniel,labrador retriever
clumber pei,,0.6,21.0,32.5,18.5,20.0,40.0,60.0,0,clumber spaniel,chinese shar pei
clumberton,,0.6,21.0,32.5,17.0,18.0,26.5,44.0,0,clumber spaniel,bedlington terrier
clumberstiff,,0.5,28.5,52.5,22.0,23.5,67.5,97.5,0,clumber spaniel,bullmastiff
cock-a-chon,,0.675,15.5,27.5,12.25,13.75,16.0,23.0,0,bichon frise,cocker spaniel
cock-a-tzu,,0.475,43.0,57.5,11.5,13.5,15.5,22.0,0,cocker spaniel,shih tzu
cocker chow,,0.475,43.0,57.5,17.0,19.0,33.5,41.5,0,cocker spaniel,chow chow
cocker-pei,,0.675,15.5,27.5,16.5,18.0,33.5,41.5,0,cocker spaniel,chinese shar pei
cocker pug,,0.575,23.0,47.5,12.5,13.5,18.0,25.0,0,cocker spaniel,pug
cocker weim,,0.85,5.0,15.0,20.0,21.5,46.0,56.5,0,cocker spaniel,weimaraner
cocker westie,,0.675,15.5,27.5,13.0,13.5,17.5,21.5,0,cocker spaniel,west highland white terrier
cockeranian,,0.85,5.0,15.0,13.5,14.0,12.5,17.5,0,cocker spaniel,pomeranian
collie pyrenees,,0.575,23.0,47.5,24.5,29.0,72.5,97.5,0,collie,great pyrenees
crested beagle,,0.2,61.0,90.0,12.0,14.5,11.5,21.0,0,chinese crested,beagle
crested cavalier,,0.4,33.5,60.0,10.5,14.0,10.0,16.0,0,chinese crested,cavalier king charles spaniel
crested cocker,,0.575,23.0,47.5,13.0,14.5,13.5,20.0,0,chinese crested,cocker spaniel
crested malt,,0.3,41.0,80.0,9.5,11.5,4.5,9.0,0,chinese crested,maltese
crested tzu,,0.2,61.0,90.0,9.5,12.0,7.0,14.0,0,chinese crested,shih tzu
crested westie,,0.4,33.5,60.0,11.0,12.0,9.0,13.5,0,chinese crested,west highland white terrier
crestoxie,,0.4,33.5,60.0,9.0,11.5,10.5,22.0,0,chinese crested,dachshund
crustie,,0.5,28.5,52.5,9.5,10.5,4.0,9.5,0,chinese crested,yorkshire terrier
dachsador,,0.725,13.5,22.0,14.0,17.0,35.5,56.0,0,dachshund,labrador retriever
dachsweiler,,0.725,13.5,22.0,14.5,18.5,53.0,71.0,0,dachshund,rottweiler
dalmador,,0.825,8.5,14.5,20.0,23.5,50.0,75.0,0,labrador retriever,dalmatian
dalmatian husky,,0.6,21.0,32.5,19.5,23.0,42.5,65.0,0,dalmatian,siberian husky
dalmatian springer,,0.7749999999999999,10.5,20.0,19.5,21.5,45.0,62.5,0,dalmatian,english springer spaniel
dameranian,,0.675,15.5,27.5,9.5,11.0,9.5,19.5,0,dachshund,pomeranian
dane shepherd,,0.725,13.5,22.0,27.0,29.0,97.5,125.0,0,great dane,german shepherd
